Middle layer Super Output Areas Code,Middle layer Super Output Areas,Occupancy_rating_of_rooms_+2_or_more,Occupancy_rating_of_rooms_+1,Occupancy_rating_of_rooms_0,Occupancy_rating_of_rooms_-1,Occupancy_rating_of_rooms_-2_or_less,Total
E02000001,City of London 001,623,1231,2229,780,51,4914
E02000002,Barking and Dagenham 001,546,697,1015,486,126,2870
E02000003,Barking and Dagenham 002,1335,950,1048,427,170,3930
E02000004,Barking and Dagenham 003,979,623,483,180,44,2309
E02000005,Barking and Dagenham 004,941,1028,1071,433,155,3628
E02000007,Barking and Dagenham 006,753,863,1364,524,171,3675
E02000008,Barking and Dagenham 007,845,1252,1654,644,230,4625
E02000009,Barking and Dagenham 008,652,1063,1607,638,294,4254
E02000010,Barking and Dagenham 009,608,931,1085,550,153,3327
E02000011,Barking and Dagenham 010,800,585,548,316,105,2354
E02000012,Barking and Dagenham 011,1155,672,853,391,218,3289
E02000013,Barking and Dagenham 012,592,891,1128,479,163,3253
E02000014,Barking and Dagenham 013,709,963,1087,459,170,3388
E02000015,Barking and Dagenham 014,537,574,1255,501,166,3033
E02000016,Barking and Dagenham 015,258,702,1724,871,256,3811
E02000017,Barking and Dagenham 016,851,564,719,435,196,2765
E02000018,Barking and Dagenham 017,479,849,1222,510,176,3236
E02000019,Barking and Dagenham 018,543,933,1097,499,134,3206
E02000020,Barking and Dagenham 019,875,1166,1676,713,243,4673
E02000021,Barking and Dagenham 020,762,699,929,431,109,2930
E02000022,Barking and Dagenham 021,128,520,1300,616,231,2795
E02000023,Barking and Dagenham 022,362,524,1087,537,152,2662
E02000024,Barnet 001,2146,1007,988,283,53,4477
E02000025,Barnet 002,1217,1023,1069,358,80,3747
E02000026,Barnet 003,1285,612,431,152,32,2512
E02000027,Barnet 004,1314,870,1099,322,80,3685
E02000028,Barnet 005,1148,709,596,195,43,2691
E02000029,Barnet 006,1303,904,1033,394,73,3707
E02000030,Barnet 007,2096,681,545,155,42,3519
E02000031,Barnet 008,1607,845,666,190,19,3327
E02000032,Barnet 009,1798,573,278,79,16,2744
E02000033,Barnet 010,1363,936,861,267,67,3494
E02000034,Barnet 011,1277,848,1038,344,81,3588
E02000035,Barnet 012,1184,932,939,410,63,3528
E02000036,Barnet 013,1546,922,983,389,102,3942
E02000037,Barnet 014,1760,822,802,258,75,3717
E02000038,Barnet 015,1498,1025,992,400,88,4003
E02000039,Barnet 016,1414,564,454,195,46,2673
E02000040,Barnet 017,1281,913,998,250,67,3509
E02000041,Barnet 018,1294,692,788,412,139,3325
E02000042,Barnet 019,1262,1097,1460,751,149,4719
E02000043,Barnet 020,1651,515,332,137,31,2666
E02000044,Barnet 021,836,753,820,473,188,3070
E02000045,Barnet 022,1076,1096,1389,538,103,4202
E02000046,Barnet 023,1028,652,749,384,66,2879
E02000047,Barnet 024,754,910,1442,815,289,4210
E02000048,Barnet 025,1691,1068,835,288,68,3950
E02000049,Barnet 026,426,780,1610,730,256,3802
E02000050,Barnet 027,1388,898,1180,452,116,4034
E02000051,Barnet 028,1479,946,835,457,76,3793
